Tue Apr 11 14:22:40 2023    ni-5106.profile

         80605181 function calls (77615993 primitive calls) in 205.800 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    14207    0.020    0.000    0.191    0.000 base.py:212(_accept_with)
    56812    0.070    0.000    0.187    0.000 elements.py:4212(_literal_as_text)
     7097    0.102    0.000    0.186    0.000 selectable.py:1228(__init__)
  1206224    0.185    0.000    0.185    0.000 {built-in method builtins.len}
    28422    0.169    0.000    0.185    0.000 query.py:3498(_adjust_for_single_inheritance)
    56696    0.185    0.000    0.185    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
    14418    0.083    0.000    0.184    0.000 base.py:512(__setitem__)
    28436    0.161    0.000    0.184    0.000 elements.py:674(__getattr__)
        1    0.000    0.000    0.183    0.183 api_resource.py:542(_make_find_response_headers)
        1    0.000    0.000    0.183    0.183 query.py:3051(count)
    14180    0.030    0.000    0.181    0.000 selectable.py:1642(_from_objects)
     7087    0.079    0.000    0.179    0.000 {built-in method builtins.sorted}
   312451    0.175    0.000    0.175    0.000 {method 'copy' of 'dict' objects}
    14187    0.063    0.000    0.173    0.000 elements.py:1818(self_group)
   842510    0.172    0.000    0.172    0.000 {method 'pop' of 'dict' objects}
    28834    0.086    0.000    0.171    0.000 elements.py:3735(_set_table)
     7099    0.039    0.000    0.171    0.000 local.py:301(_get_current_object)
    28352    0.160    0.000    0.168    0.000 times.py:50(DateTime_or_None)
    71018    0.167    0.000    0.167    0.000 {method 'next_result' of '_mysql.connection' objects}
        1    0.000    0.000    0.164    0.164 query.py:2823(scalar)
    85093    0.160    0.000    0.160    0.000 elements.py:640(self_group)
    14176    0.096    0.000    0.159    0.000 instrumentation.py:325(initialize_collection)
   177503    0.153    0.000    0.153    0.000 attr.py:226(__bool__)
    28422    0.081    0.000    0.153    0.000 langhelpers.py:1055(_next)
    35509    0.127    0.000    0.153    0.000 session.py:1276(get_bind)
    14174    0.049    0.000    0.152    0.000 session.py:2151(__contains__)
       68    0.002    0.000    0.151    0.002 loading.py:165(load_on_ident)
    28660    0.113    0.000    0.150    0.000 result.py:1085(process_rows)
    14174    0.061    0.000    0.148    0.000 base.py:250(object_mapper)
    14207    0.118    0.000    0.146    0.000 attr.py:284(__init__)
     7087    0.018    0.000    0.146    0.000 result.py:827(close)
   326754    0.142    0.000    0.142    0.000 {built-in method __new__ of type object at 0x7f711a2b0fc0}
    35509    0.094    0.000    0.141    0.000 default.py:739(should_autocommit)
    85599    0.140    0.000    0.140    0.000 _weakrefset.py:70(__contains__)
    50049    0.093    0.000    0.140    0.000 elements.py:3910(__new__)
    56738    0.137    0.000    0.137    0.000 util.py:617(__init__)
    56786    0.137    0.000    0.137    0.000 query.py:2992(_select_args)
    71275    0.116    0.000    0.137    0.000 base.py:89(__getattr__)
    35511    0.117    0.000    0.134    0.000 query.py:329(_entity_zero)
   872748    0.134    0.000    0.134    0.000 {method 'update' of 'set' objects}
    28429    0.133    0.000    0.133    0.000 compiler.py:1718(<listcomp>)
    49620    0.132    0.000    0.132    0.000 weakref.py:134(__getitem__)
    35509    0.132    0.000    0.132    0.000 cursors.py:65(__init__)
14987/14770    0.082    0.000    0.131    0.000 langhelpers.py:833(__getattr__)
   113512    0.131    0.000    0.131    0.000 path_registry.py:70(get)
